CNAE,SIC Code,Description
60.1,3663,Radio & TV Broadcasting & Communications Equipment
26.3,3669,"Communications Equipment, NEC"
26.1,3670,Electronic Components & Accessories
18.1,3672,Printed Circuit Boards
26.1,3674,Semiconductors & Related Devices
27.1,3677,"Electronic Coils, Transformers & Other Inductors"
61.1,3678,Electronic Connectors
26.1,3679,"Electronic Components, NEC"
27.9,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
26.8,3695,Magnetic & Optical Recording Media
45.3,3711,Motor Vehicles & Passenger Car Bodies
29.2,3713,Truck & Bus Bodies
29.4,3714,Motor Vehicle Parts & Accessories
29.2,3715,Truck Trailers
29.3,3716,Motor Homes
30.4,3720,Aircraft & Parts
30.4,3721,Aircraft
30.4,3724,Aircraft Engines & Engine Parts
30.4,3728,"Aircraft Parts & Auxiliary Equipment, NEC"
30.1,3730,Ship & Boat Building & Repairing
30.3,3743,Railroad Equipment
45.4,3751,"Motorcycles, Bicycles & Parts"
30.5,3760,Guided Missiles & Space Vehicles & Parts
30.9,3790,Miscellaneous Transportation Equipment
1.7,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
31.0,3821,Laboratory Apparatus & Furniture
68.1,3822,Auto Controls For Regulating Residential & Comml Environments
26.5,3823,"Industrial Instruments For Measurement, Display, and Control"
36.0,3824,Totalizing Fluid Meters & Counting Devices
27.3,3825,Instruments For Meas & Testing of Electricity & Elec Signals
71.2,3826,Laboratory Analytical Instruments
26.7,3827,Optical Instruments & Lenses
26.5,3829,"Measuring & Controlling Devices, NEC"
32.5,3841,Surgical & Medical Instruments & Apparatus
32.5,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
32.5,3843,Dental Equipment & Supplies
26.6,3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus
26.6,3845,Electromedical & Electrotherapeutic Apparatus
32.5,3851,Ophthalmic Goods
26.7,3861,Photographic Equipment & Supplies
26.5,3873,"Watches, Clocks, Clockwork Operated Devices/Parts"
32.1,3910,"Jewelry, Silverware & Plated Ware"
32.1,3911,"Jewelry, Precious Metal"
32.2,3931,Musical Instruments
32.4,3942,Dolls & Stuffed Toys
32.4,3944,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)"
93.1,3949,"Sporting & Athletic Goods, NEC"
20.7,3950,"Pens, Pencils & Other Artists' Materials"
32.1,3960,Costume Jewelry & Novelties
28.6,3990,Miscellaneous Manufacturing Industries
49.1,4011,"Railroads, Line-Haul Operating"
49.1,4013,Railroad Switching & Terminal Establishments
49.2,4100,Local & Suburban Transit & Interurban Hwy Passenger Trans
51.2,4210,Trucking & Courier Services (No Air)
29.2,4213,Trucking (No Local)
39.0,4220,Public Warehousing & Storage
52.5,4231,Terminal Maintenance Facilities For Motor Freight Transport
50.9,4400,Water Transportation
50.1,4412,Deep Sea Foreign Transportation of Freight
51.1,4512,"Air Transportation, Scheduled"
51.2,4513,Air Courier Services
51.1,4522,"Air Transportation, Nonscheduled"
52.4,4581,"Airports, Flying Fields & Airport Terminal Services"
6.0,4610,Pipe Lines (No Natural Gas)
49.2,4700,Transportation Services
52.5,4731,Arrangement of Transportation of Freight & Cargo
60.1,4812,Radiotelephone Communications
61.2,4813,Telephone Communications (No Radiotelephone)
26.3,4822,Telegraph & Other Message Communications
60.1,4832,Radio Broadcasting Stations
60.2,4833,Television Broadcasting Stations
61.4,4841,Cable & Other Pay Television Services
63.9,4899,"Communications Services, NEC"
42.2,4900,"Electric, Gas & Sanitary Services"
27.3,4911,Electric Services
6.0,4922,Natural Gas Transmission
6.0,4923,Natural Gas Transmission & Distribution
6.0,4924,Natural Gas Distribution
27.3,4931,Electric & Other Services Combined
9.1,4932,Gas & Other Services Combined
36.0,4941,Water Supply
86.1,4950,Sanitary Services
65.3,4953,Refuse Systems
39.0,4955,Hazardous Waste Management
35.3,4961,Steam & Air-Conditioning Supply
27.3,4991,Co-generation Services & Small Power Producers
47.8,5000,Wholesale-Durable Goods
45.3,5010,Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies
45.3,5013,Wholesale-Motor Vehicle Supplies & New Parts
31.0,5020,Wholesale-Furniture & Home Furnishings
47.4,5030,Wholesale-Lumber & Other Construction Materials
16.2,5031,"Wholesale-Lumber, Plywood, millwork & Wood Panels"
30.9,5040,Wholesale-Professional & Commercial Equipment & Supplies
26.2,5045,Wholesale-Computers & Peripheral Equipment & Software
32.5,5047,"Wholesale-Medical, Dental & Hospital Equipment & Supplies"
9.9,5050,Wholesale-Metals & Minerals (No Petroleum)
82.9,5051,Wholesale-Metals Service Centers & Offices
27.3,5063,"Wholesale-Electrical Apparatus & Equipment, Wiring Supplies"
27.3,5064,"Wholesale-Electrical Appliances, TV & Radio Sets"
26.1,5065,"Wholesale-Electronic Parts & Equipment, NEC"
28.2,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies
47.5,5072,Wholesale-Hardware
28.2,5080,"Wholesale-Machinery, Equipment & Supplies"
28.2,5082,Wholesale-Construction & Mining (No Petro) Machinery & Equip
28.2,5084,Wholesale-Industrial Machinery & Equipment
47.8,5090,Wholesale-Misc Durable Goods
32.1,5094,"Wholesale-Jewelry, Watches, Precious Stones & Metals"
64.4,5099,"Wholesale-Durable Goods, NEC"
17.4,5110,Wholesale-Paper & Paper Products
21.2,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries"
47.8,5130,"Wholesale-Apparel, Piece Goods & Notions"
10.9,5140,Wholesale-Groceries & Related Products
47.8,5141,"Wholesale-Groceries, General Line (merchandise)"
32.9,5150,Wholesale-Farm Product Raw Materials
20.9,5160,Wholesale-Chemicals & Allied Products
43.2,5171,Wholesale-Petroleum Bulk Stations & Terminals
19.2,5172,Wholesale-Petroleum & Petroleum Products (No Bulk Stations)
11.1,5180,"Wholesale-Beer, Wine & Distilled Alcoholic Beverages"
47.8,5190,Wholesale-Miscellaneous Non-durable Goods
47.4,5200,"Retail-Building Materials, Hardware, Garden Supply"
47.4,5211,Retail-Lumber & Other Building Materials Dealers
47.9,5271,Retail-Mobile Home Dealers
64.4,5311,Retail-Department Stores
47.8,5331,Retail-Variety Stores
47.8,5399,Retail-Misc General Merchandise Stores
56.2,5400,Retail-Food Stores
64.4,5411,Retail-Grocery Stores
64.4,5412,Retail-Convenience Stores
47.3,5500,Retail-Auto Dealers & Gasoline Stations
45.1,5511,Motor Vehicle Dealers (New and Used)
45.3,5531,Retail-Auto & Home Supply Stores
30.1,5551,Boat Dealers
64.4,5600,Retail-Apparel & Accessory Stores
14.1,5621,Retail-Women's Clothing Stores
14.1,5651,Retail-Family Clothing Stores
15.3,5661,Retail-Shoe Stores
31.0,5700,"Retail-Home Furniture, Furnishings & Equipment Stores"
64.4,5712,Retail-Furniture Stores
60.1,5731,"Retail-Radio, TV & Consumer Electronics Stores"
47.5,5734,Retail-Computer & Computer Software Stores
64.4,5735,Retail-Record & Prerecorded Tape Stores
56.1,5810,Retail-Eating & Drinking Places
56.1,5812,Retail-Eating Places
64.4,5900,Retail-Miscellaneous Retail
47.7,5912,Retail-Drug Stores and Proprietary Stores
47.9,5940,Retail-Miscellaneous Shopping Goods Stores
32.1,5944,Retail-Jewelry Stores
32.4,5945,"Retail-Hobby, Toy & Game Shops"
47.1,5960,Retail-Nonstore Retailers
64.4,5961,Retail-Catalog & Mail-Order Houses
64.4,5990,"Retail-Retail Stores, NEC"
66.1,6012,Pay Day Lenders
64.1,6021,National Commercial Banks
64.1,6022,State Commercial Banks
64.1,6029,"Commercial Banks, NEC"
64.1,6035,"Savings Institution, Federally Chartered"
84.1,6036,"Savings Institutions, Not Federally Chartered"
64.2,6099,"Functions Related To Depository Banking, NEC"
66.3,6111,Federal & Federally Sponsored Credit Agencies
64.1,6141,Personal Credit Institutions
69.2,6153,Short-Term Business Credit Institutions
64.1,6159,Miscellaneous Business Credit Institution
66.1,6162,Mortgage Bankers & Loan Correspondents
66.1,6163,Loan Brokers
64.2,6172,Finance Lessors
77.4,6189,Asset-Backed Securities
66.1,6199,Finance Services
46.8,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
80.1,6211,"Security Brokers, Dealers & Flotation Companies"
46.8,6221,Commodity Contracts Brokers & Dealers
64.7,6282,Investment Advice
65.1,6311,Life Insurance
65.2,6321,Accident & Health Insurance
86.1,6324,Hospital & Medical Service Plans
65.1,6331,"Fire, Marine & Casualty Insurance"
65.2,6351,Surety Insurance
65.2,6361,Title Insurance
65.2,6399,"Insurance Carriers, NEC"
65.2,6411,"Insurance Agents, Brokers & Service"
68.1,6500,Real Estate
41.1,6510,Real Estate Operators (No Developers) & Lessors
41.2,6512,Operators of Nonresidential Buildings
41.2,6513,Operators of Apartment Buildings
68.1,6519,"Lessors of Real Property, NEC"
68.2,6531,Real Estate Agents & Managers (For Others)
68.1,6532,Real Estate Dealers (For Their Own Account)
41.1,6552,Land Subdividers & Developers (No Cemeteries)
18.1,6770,Blank Checks
19.2,6792,Oil Royalty Traders
14.2,6794,Patent Owners & Lessors
23.9,6795,Mineral Royalty Traders
41.1,6798,Real Estate Investment Trusts
64.7,6799,"Investors, NEC"
55.1,7000,"Hotels, Rooming Houses, Camps & Other Lodging Places"
55.1,7011,Hotels & Motels
96.0,7200,Services-Personal Services
63.9,7310,Services-Advertising
63.9,7311,Services-Advertising Agencies
